15/06/2022 01:45,0,-75417,-100956,P: 750 G: 50 - 1 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0 MI: 0,1 Elit: 0 
15/06/2022 01:46,1,-71925,-93716,P: 750 G: 50 - 1 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0 MI: 0,1 Elit: 0 
15/06/2022 01:55,0,-72860,-98579,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 01:56,1,-72473,-91220,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 01:58,2,-62559,-84850,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:01,3,-61853,-79954,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:03,4,-58574,-75016,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:05,5,-52293,-70525,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:07,6,-48722,-66600,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:09,7,-47245,-63280,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:11,8,-48073,-59764,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:13,9,-42399,-56870,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:14,10,-41613,-54233,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:16,11,-35954,-52008,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:18,12,-37333,-49528,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:20,13,-37316,-47389,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:22,14,-36301,-45263,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:24,15,-34102,-43932,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:26,16,-32286,-41848,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:28,17,-31511,-40701,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:30,18,-30896,-38781,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:33,19,-29676,-38398,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:35,20,-29761,-37509,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:38,21,-28887,-36649,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:40,22,-27671,-35762,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:42,23,-26722,-34677,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:44,24,-24095,-34031,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:46,25,-23233,-33294,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:48,26,-24542,-32353,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:51,27,-24502,-31549,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:53,28,-24224,-30823,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:55,29,-23257,-30591,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
15/06/2022 02:57,30,-23499,-29570,P: 750 G: 50 - 500 Stgn: 25 Sel: Tourney Trny: 3 Mut: 0,4 MI: 0,1 Elit: 0 
